method,subset,layer_band,n_questions,mean_auc,mean_base,mean_ck8,mean_delta_ck8_minus_base,mean_slope_per_ckpt,mean_min_checkpoint_value,mean_mid_minus_late
ELM,lucky,late,30,0.5971296368649711,0.8733333369841179,0.41888889635602633,-0.45444444062809153,-0.05680555507851144,0.2827777841687203,
ELM,lucky,core_mid,30,0.6270707143236088,0.8414141455202392,0.5294949569846643,-0.31191918853557465,-0.03898989856694683,0.4214141492048899,
ELM,lucky,mid_minus_late,30,,,,,,,0.014533406079529684
RR,retained,early,175,0.7037278973861616,0.7038367408830293,0.7053605505009087,0.0015238096178794398,0.00019047620223492997,0.6757006865764151,
RR,retained,mid,175,0.8049200173851266,0.8995630282574343,0.7995742348342382,-0.09998879342319585,-0.01249859917789948,0.6004033683648631,
RR,retained,late,175,0.7801534442475864,0.9244761929554599,0.7645714342849594,-0.15990475867050036,-0.019988094833812545,0.45747619772808895,
RR,retained,core_mid,175,0.8127330496603621,0.9073246783126485,0.8131948103533161,-0.09412986795933213,-0.011766233494916517,0.598891782212567,
RR,retained,mid_minus_late,175,,,,,,,0.02476657313754021
RR,suppressed,early,66,0.7033028763452362,0.6997114059728977,0.7082251145339115,0.008513708561013782,0.0010642135701267228,0.6712842778726057,
RR,suppressed,mid,66,0.7802733267591976,0.8929887138107883,0.7317884794849763,-0.16120023432581182,-0.020150029290726477,0.5622103461554131,
RR,suppressed,late,66,0.7585998934402008,0.9311868711967359,0.6996212192331299,-0.23156565196360604,-0.028945706495450755,0.42739899792906005,
RR,suppressed,core_mid,66,0.7856239211834788,0.8987144201255043,0.7365472975759139,-0.16216712254959031,-0.02027089031869879,0.5522497776454474,
RR,suppressed,mid_minus_late,66,,,,,,,0.021673433318996838
RR,forgotten,early,29,0.567451200484577,0.56617406107522,0.5684729118946151,0.0022988508193951037,0.00028735635242438796,0.5399014831763771,
RR,forgotten,mid,29,0.6838404387175189,0.8444895240162738,0.5679513248903999,-0.27653819912587413,-0.034567274890734266,0.4392156922913953,
RR,forgotten,late,29,0.6632822545723439,0.8600574764712104,0.4635057541060037,-0.39655172236520664,-0.04956896529565083,0.3074712708078582,
RR,forgotten,core_mid,29,0.6817369151472505,0.8501567435301958,0.587878794094612,-0.26227794943558386,-0.03278474367944798,0.42131662054869073,
RR,forgotten,mid_minus_late,29,,,,,,,0.02055818414517505
RR,lucky,early,37,0.6818818887100359,0.686229092941321,0.6815958883311298,-0.004633204610191257,-0.0005791505762739071,0.6540540609350536,
RR,lucky,mid,37,0.72603192013221,0.9036566005981215,0.6275569752687868,-0.27609962532933446,-0.03451245316616681,0.47821940268924373,
RR,lucky,late,37,0.699124130033874,0.9427927950950893,0.5547297361533384,-0.38806305894175097,-0.04850788236771887,0.3229729792958981,
RR,lucky,core_mid,37,0.7342615401357567,0.9159705186065936,0.6427518491223637,-0.27321866948422985,-0.03415233368552873,0.47141687840735885,
RR,lucky,mid_minus_late,37,,,,,,,0.026907790098336035
TAR,retained,early,165,0.668712528279448,0.6898124158485628,0.6625108286106225,-0.02730158723794021,-0.0034126984047425264,0.589898996528609,
TAR,retained,mid,165,0.7922809846981088,0.9008912685083198,0.7897563924530187,-0.11113487605530097,-0.01389185950691262,0.6418776063676823,
TAR,retained,late,165,0.8207856388500443,0.94530303245241,0.8100505100913119,-0.13525252236109792,-0.01690656529513724,0.6434848554296927,
TAR,retained,core_mid,165,0.798028777496947,0.9058218578234847,0.7956657534164503,-0.11015610440703462,-0.013769513050879327,0.6374655716248452,
TAR,retained,mid_minus_late,165,,,,,,,-0.028504654151935538
TAR,suppressed,early,86,0.695348844043264,0.7112956877067635,0.684496131173004,-0.026799556533759615,-0.003349944566719952,0.6179402065039472,
TAR,suppressed,mid,86,0.7770177896089115,0.9050159629205019,0.7660738773980318,-0.1389420855224703,-0.01736776069030879,0.6104879235071621,
TAR,suppressed,late,86,0.8008290322810334,0.9246124059395041,0.7895348900192698,-0.13507751592023426,-0.016884689490029282,0.615310085088361,
TAR,suppressed,core_mid,86,0.7775663669278202,0.9154334065652044,0.763777313852411,-0.15165609271279348,-0.018957011589099185,0.5934460962738597,
TAR,suppressed,mid_minus_late,86,,,,,,,-0.02381124267212199
TAR,forgotten,early,35,0.6584127052246577,0.660680278442344,0.663673476345685,0.0029931979033411596,0.00037414973791764496,0.5763265371809201,
TAR,forgotten,mid,35,0.6123996335217933,0.8776470627003357,0.5489075698171344,-0.3287394928832014,-0.04109243661040018,0.4235294183863312,
