method,subset,layer_band,question_idx,auc,base,ck8,delta_ck8_minus_base,slope_per_ckpt,min_checkpoint_value
RMU,retained,late,1129,0.9731481491691536,1.0,0.7583333425223827,-0.24166665747761729,-0.03020833218470216,0.7583333425223827
RMU,retained,late,1135,0.4370370412866274,0.9166666708886624,0.16666667088866233,-0.75,-0.09375,0.0
RMU,retained,late,1136,0.8425925983322992,1.0,0.9333333373069763,-0.06666666269302368,-0.00833333283662796,0.5000000111758709
RMU,retained,late,1138,0.6074074159893724,1.0,0.7416666731238365,-0.2583333268761635,-0.03229166585952044,0.30000000819563866
RMU,retained,late,1146,0.8296296358108521,1.0,0.6833333447575569,-0.3166666552424431,-0.039583331905305386,0.6166666828095914
RMU,retained,late,1147,0.9972222223877907,1.0,0.9833333343267441,-0.01666666567325592,-0.00208333320915699,0.9833333343267441
RMU,retained,late,1151,0.9296296334101094,1.0,0.8583333410322667,-0.14166665896773334,-0.017708332370966667,0.8250000081956387
RMU,retained,late,1155,0.7592592649161816,0.7833333395421505,0.4333333447575569,-0.34999999478459354,-0.04374999934807419,0.4333333447575569
RMU,retained,late,1157,0.6601851867304908,1.0,0.21666666790843012,-0.7833333320915699,-0.09791666651144623,0.1
RMU,retained,late,1161,0.9648148158358203,1.0,0.9833333343267441,-0.01666666567325592,-0.00208333320915699,0.8250000007450581
RMU,retained,late,1165,0.7351851901246441,1.0,0.9000000044703483,-0.09999999552965166,-0.012499999441206458,0.13333333730697633
RMU,retained,late,1169,0.5435185268521309,0.8666666701436043,0.44166667610406873,-0.4249999940395356,-0.05312499925494195,0.2916666753590107
RMU,retained,late,1171,0.9009259305894375,1.0,0.9583333358168602,-0.0416666641831398,-0.005208333022892475,0.6666666865348816
RMU,retained,late,1172,0.9703703718880813,1.0,1.0,0.0,0.0,0.8500000074505806
RMU,retained,late,1174,0.8787037086983521,1.0,1.0,0.0,0.0,0.6500000096857548
RMU,retained,late,1179,0.9592592607769702,1.0,1.0,0.0,0.0,0.7500000104308129
RMU,retained,late,1184,0.7685185246169568,0.9250000029802322,0.9833333343267441,0.05833333134651186,0.007291666418313983,0.40833334252238274
RMU,retained,late,1207,0.8027777841521634,0.991666667163372,0.9666666686534882,-0.02499999850988388,-0.003124999813735485,0.6000000067055226
RMU,retained,late,1216,0.7435185242858198,0.6500000096857548,0.7833333432674408,0.13333333358168598,0.016666666697710747,0.3500000037252903
RMU,retained,late,1221,0.9574074094494185,0.991666667163372,0.9666666686534882,-0.02499999850988388,-0.003124999813735485,0.8833333380520344
RMU,retained,late,1233,0.8722222280171184,1.0,0.7916666746139527,-0.20833332538604732,-0.026041665673255915,0.7333333410322667
RMU,retained,late,1253,0.688888897250096,1.0,0.6166666835546494,-0.3833333164453506,-0.04791666455566883,0.4666666738688946
RMU,retained,late,1271,0.5990740802552964,0.5500000052154064,0.516666679084301,-0.0333333261311054,-0.004166665766388175,0.11666666865348815
RMU,retained,core_mid,17,0.8053872137358693,0.921212124824524,0.7393939500505273,-0.18181817477399664,-0.02272727184674958,0.6969697123224085
RMU,retained,core_mid,39,0.9717171728008925,0.9393939408389005,1.0,0.06060605916109951,0.007575757395137439,0.9393939408389005
RMU,retained,core_mid,41,0.5811447900955122,0.9939393943006342,0.27272728085517883,-0.7212121134454553,-0.09015151418068192,0.24242424964904785
RMU,retained,core_mid,46,0.750168357955085,0.9393939424644817,0.7454545552080328,-0.19393938725644888,-0.02424242340705611,0.6060606122016906
RMU,retained,core_mid,57,0.8175084227865392,0.8000000043348833,0.7272727359424938,-0.07272726839238952,-0.00909090854904869,0.7212121291594072
RMU,retained,core_mid,59,0.9393939407786939,0.7575757617300206,1.0,0.2424242382699794,0.030303029783747423,0.7575757617300206
RMU,retained,core_mid,90,0.8525252564988954,0.9818181829019026,0.7515151603655382,-0.23030302253636437,-0.028787877817045546,0.7333333410999991
RMU,retained,core_mid,95,0.4700336757332388,0.6303030382503163,0.16363636688752606,-0.4666666713627903,-0.058333333920348784,0.16363636688752606
RMU,retained,core_mid,105,0.5164983212947845,0.8545454567128963,0.2727272792295976,-0.5818181774832987,-0.07272727218541233,0.19393939809365704
RMU,retained,core_mid,109,0.5158249224075163,0.8121212184429168,0.8121212173591961,-1.083720779782027e-09,-1.3546509747275337e-10,0.1272727305238897
RMU,retained,core_mid,137,0.760942764474888,0.8424242463978854,0.8727272754365747,0.03030302903868931,0.003787878629836164,0.5151515191251582
RMU,retained,core_mid,161,0.850505055201174,0.9878787886012684,0.8060606116598303,-0.1818181769414381,-0.02272727211767976,0.6787878876382655
RMU,retained,core_mid,167,0.9407407433095606,0.9878787886012684,0.9151515191251582,-0.07272726947611019,-0.009090908684513774,0.8242424320090901
RMU,retained,core_mid,172,0.7925925973689918,0.6484848575158553,0.7636363690549678,0.11515151153911252,0.014393938942389065,0.6484848575158553
RMU,retained,core_mid,174,0.7407407443932813,1.0,0.9333333362232555,-0.06666666377674446,-0.008333332972093058,0.4242424276742068
RMU,retained,core_mid,188,0.817508425134601,0.9030303071845661,0.7333333400162784,-0.16969696716828775,-0.02121212089603597,0.7272727391936562
RMU,retained,core_mid,190,0.9090909122818647,1.0,0.7515151581980966,-0.24848484180190344,-0.03106060522523793,0.7515151581980966
RMU,retained,core_mid,191,0.5932659996880426,0.8787878811359405,0.7454545535824515,-0.13333332755348903,-0.01666666594418613,0.1818181856112047
RMU,retained,core_mid,205,0.8572390621358699,0.7454545579173348,0.6969697025689212,-0.048484855348413625,-0.006060606918551703,0.6969697025689212
RMU,retained,core_mid,298,0.6404040517229022,0.7212121340361508,0.7333333438093012,0.012121209773150343,0.001515151221643793,0.39393940134481953
RMU,retained,core_mid,308,0.8188552270634006,0.800000011920929,0.8060606149109927,0.006060602990063724,0.0007575753737579655,0.7272727386517958
RMU,retained,core_mid,314,0.9387205402658443,0.9939393943006342,0.9939393943006342,0.0,0.0,0.7757575782862577
RMU,retained,core_mid,317,0.5178451294248755,0.8303030349991538,0.539393954927271,-0.29090908007188276,-0.036363635008985346,0.29696970582008364
RMU,retained,core_mid,329,0.8067340115104059,0.9757575772025369,0.8484848520972512,-0.12727272510528564,-0.015909090638160706,0.6606060683727265
RMU,retained,core_mid,333,0.8606060666267318,0.8909090957858345,0.7333333427255805,-0.15757575306025406,-0.019696969132531758,0.7030303136868911
RMU,retained,core_mid,335,0.7670033730039694,0.6363636428659613,0.8848484900864687,0.24848484722050745,0.031060605902563432,0.5393939419226214
RMU,retained,core_mid,338,0.8626262679846599,0.9636363658038053,0.739393946799365,-0.2242424190044403,-0.02803030237555504,0.739393946799365
RMU,retained,core_mid,339,0.8875420918368331,0.8909090925346721,0.8484848548065532,-0.042424237728118874,-0.005303029716014859,0.745454554124312
RMU,retained,core_mid,345,0.42828283466473976,0.83636364124038,0.4181818257678639,-0.4181818154725161,-0.05227272693406451,0.2787878865545446
RMU,retained,core_mid,348,0.8861952900886537,0.9878787886012684,0.8242424314672298,-0.16363635713403868,-0.020454544641754835,0.8121212179010565
RMU,retained,core_mid,351,0.9912457915869626,0.9696969698775898,0.9878787886012684,0.018181818723678633,0.002272727340459829,0.9696969698775898
RMU,retained,core_mid,355,0.7872053935672297,0.7696969752961939,0.6848484927957709,-0.08484848250042298,-0.010606060312552873,0.6666666746139526
RMU,retained,core_mid,357,0.9696969708408972,1.0,0.9696969709613107,-0.03030302903868931,-0.003787878629836164,0.9393939408389005
RMU,retained,core_mid,366,0.6922558986177347,0.6666666762395338,0.527272734858773,-0.13939394138076078,-0.017424242672595097,0.3030303050171245
RMU,retained,core_mid,372,0.9306397321850363,0.9939393943006342,0.7212121237408031,-0.27272727055983104,-0.03409090881997888,0.7212121237408031
RMU,retained,core_mid,375,0.7077441128817472,0.969696971503171,0.5575757638974623,-0.4121212076057087,-0.05151515095071359,0.3212121297012676
RMU,retained,core_mid,399,0.8249158316790456,0.8666666719046506,0.8424242480234667,-0.024242423881183917,-0.0030303029851479896,0.745454554124312
RMU,retained,core_mid,424,0.4208754246283059,0.8181818214329806,0.41818182089112016,-0.4000000005418604,-0.05000000006773255,0.23030303391543303
RMU,retained,core_mid,438,0.6525252591479908,0.9151515196670186,0.4969697047363628,-0.41818181493065576,-0.05227272686633197,0.4969697047363628
RMU,retained,core_mid,462,0.5622895721233252,0.8666666740720923,0.5454545568336141,-0.3212121172384782,-0.040151514654809775,0.33333334164185957
RMU,retained,core_mid,481,0.9380471410775427,1.0,0.8545454621315003,-0.1454545378684997,-0.018181817233562464,0.8181818252260036
RMU,retained,core_mid,532,0.773063977860441,0.5393939478830858,0.9272727294401689,0.3878787815570831,0.04848484769463539,0.5393939478830858
RMU,retained,core_mid,534,0.8336700395502226,0.9757575766606764,0.7272727359424938,-0.24848484071818266,-0.031060605089772833,0.6181818279353055
RMU,retained,core_mid,545,0.8370370434390174,0.8969697031107816,0.8363636406985197,-0.06060606241226196,-0.007575757801532745,0.7151515240019019
