method,question_idx,subset,layer_band,K_external_ck8,frozen_K_internal,retrained_K_internal,recovery_gain,quadrant
GradDiff,446,forgotten,mid,0.3333333432674408,0.3333333333333333,0.587878799980337,0.25454546664700367,frozen_low_retrained_high
GradDiff,449,retained,mid,0.6666666865348816,0.3333333333333333,0.7696969785473563,0.436363645214023,frozen_low_retrained_high
GradDiff,450,forgotten,mid,0.0,0.0,0.04848484992980957,0.04848484992980957,frozen_low_retrained_low
GradDiff,451,forgotten,mid,0.0,0.0,0.4303030382503163,0.4303030382503163,frozen_low_retrained_low
GradDiff,452,retained,mid,1.0,1.0,0.8909090947021138,-0.10909090529788623,frozen_high_retrained_high
GradDiff,456,forgotten,mid,0.3333333432674408,0.3333333333333333,0.31515152020887893,-0.018181813124454382,frozen_low_retrained_low
GradDiff,458,retained,mid,1.0,1.0,0.7575757638974623,-0.24242423610253772,frozen_high_retrained_high
GradDiff,459,forgotten,mid,0.3333333432674408,0.3333333333333333,0.6060606197877364,0.2727272864544031,frozen_low_retrained_high
GradDiff,460,forgotten,mid,0.3333333432674408,0.3333333333333333,0.28484849333763124,-0.04848483999570208,frozen_low_retrained_low
GradDiff,462,retained,mid,0.6666666865348816,1.0,0.9030303088101473,-0.09696969118985266,frozen_high_retrained_high
GradDiff,464,retained,mid,0.6666666865348816,1.0,0.921212124824524,-0.07878787517547603,frozen_high_retrained_high
GradDiff,465,suppressed,mid,0.3333333432674408,1.0,0.527272737568075,-0.472727262431925,frozen_high_retrained_high
GradDiff,466,suppressed,mid,0.0,0.6666666666666666,0.6969697025689212,0.030303035902254583,frozen_high_retrained_high
GradDiff,469,retained,mid,0.6666666865348816,1.0,0.7090909220955589,-0.2909090779044411,frozen_high_retrained_high
GradDiff,478,suppressed,mid,0.0,0.3333333333333333,0.7757575809955597,0.4424242476622264,frozen_low_retrained_high
GradDiff,481,retained,mid,0.6666666865348816,1.0,1.0,0.0,frozen_high_retrained_high
GradDiff,482,suppressed,mid,0.3333333432674408,1.0,0.41212122440338134,-0.5878787755966186,frozen_high_retrained_low
GradDiff,485,forgotten,mid,0.3333333432674408,0.3333333333333333,0.35757576606490393,0.024242432731570618,frozen_low_retrained_low
GradDiff,486,retained,mid,1.0,0.6666666666666666,0.8606060689145868,0.19393940224792017,frozen_high_retrained_high
GradDiff,487,suppressed,mid,0.0,0.0,0.39393940351226114,0.39393940351226114,frozen_low_retrained_low
GradDiff,488,suppressed,mid,0.3333333432674408,1.0,0.42424243634397335,-0.5757575636560266,frozen_high_retrained_low
GradDiff,490,forgotten,mid,0.3333333432674408,0.3333333333333333,0.44848485697399487,0.11515152364066156,frozen_low_retrained_low
GradDiff,491,lucky,mid,0.6666666865348816,0.0,0.3212121242826635,0.3212121242826635,frozen_low_retrained_low
GradDiff,494,lucky,mid,0.6666666865348816,0.6666666666666666,0.6121212227778001,-0.05454544388886651,frozen_high_retrained_high
GradDiff,497,retained,mid,1.0,1.0,0.8666666713627902,-0.1333333286372098,frozen_high_retrained_high
GradDiff,499,retained,mid,0.6666666865348816,1.0,0.5818181931972504,-0.41818180680274963,frozen_high_retrained_high
GradDiff,500,lucky,mid,0.6666666865348816,0.6666666666666666,0.21212121844291687,-0.45454544822374976,frozen_high_retrained_low
GradDiff,503,suppressed,mid,0.0,0.3333333333333333,0.6363636488264257,0.3030303154930924,frozen_low_retrained_high
GradDiff,505,forgotten,mid,0.3333333432674408,0.6666666666666666,0.6121212216940793,-0.05454544497258729,frozen_high_retrained_high
GradDiff,507,retained,mid,0.6666666865348816,0.6666666666666666,0.7636363750154321,0.0969697083487655,frozen_high_retrained_high
GradDiff,515,retained,mid,1.0,1.0,0.9636363652619448,-0.03636363473805515,frozen_high_retrained_high
GradDiff,516,lucky,mid,0.6666666865348816,0.6666666666666666,0.7272727364843542,0.06060606981768757,frozen_high_retrained_high
GradDiff,517,retained,mid,1.0,0.0,0.2484848537228324,0.2484848537228324,frozen_low_retrained_low
GradDiff,519,retained,mid,0.6666666865348816,1.0,0.6545454626733607,-0.34545453732663933,frozen_high_retrained_high
GradDiff,520,forgotten,mid,0.0,0.0,0.09696969931775873,0.09696969931775873,frozen_low_retrained_low
GradDiff,522,lucky,mid,1.0,0.3333333333333333,0.2545454615896398,-0.0787878717436935,frozen_low_retrained_low
GradDiff,523,suppressed,mid,0.3333333432674408,0.0,0.9030303077264266,0.9030303077264266,frozen_low_retrained_high
GradDiff,524,retained,mid,0.6666666865348816,0.0,0.33333334164185957,0.33333334164185957,frozen_low_retrained_low
GradDiff,525,forgotten,mid,0.0,0.3333333333333333,0.12121212428266352,-0.21212120905066978,frozen_low_retrained_low
GradDiff,527,lucky,mid,0.6666666865348816,0.0,0.41818182956088673,0.41818182956088673,frozen_low_retrained_low
GradDiff,528,retained,mid,1.0,1.0,0.45454546484080227,-0.5454545351591977,frozen_high_retrained_low
GradDiff,529,forgotten,mid,0.0,0.0,0.30909091667695476,0.30909091667695476,frozen_low_retrained_low
GradDiff,532,forgotten,mid,0.0,0.6666666666666666,0.33939394734122535,-0.3272727193254413,frozen_high_retrained_low
GradDiff,533,lucky,mid,1.0,0.6666666666666666,0.1333333367651159,-0.5333333299015507,frozen_high_retrained_low
