method,ck,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
ELM,1,LR,19,0.6173228346456693,0.021076785534368772,0.02925926901510097,0.6244094488188977,0.031357964963369914,0.04353183416575623,0.6102362204724409,0.052702993797422076,0.07316348457906123,0.6173977414057439,0.029317125632057798,0.040698694979797896,0.6244094488188977,0.031357964963369914,0.04353183416575623,0.6199309642845524,0.017423249127975285,0.0241873473790044,0.6706801413602828,0.020204414016044857,0.028048223199118767
ELM,1,LR,20,0.6173228346456693,0.02409628936708559,0.03345101233333728,0.6188976377952755,0.023144784971179635,0.03213011247204363,0.6157480314960629,0.041858374362211064,0.05810873930474897,0.6178993074448809,0.028939712027405376,0.04017476090216176,0.6188976377952755,0.023144784971179635,0.03213011247204363,0.618021863215704,0.020884766275993408,0.028992703550090978,0.6651156302312604,0.01883171633688084,0.026142613323003116
ELM,1,LR,21,0.6224409448818898,0.01910158971765072,0.02651725763653397,0.6291338582677165,0.012549116102763148,0.01742096598903781,0.6157480314960629,0.03410457925623262,0.047344746070398715,0.6214806010749141,0.023083267747182685,0.032044712874317795,0.6291338582677165,0.012549116102763148,0.01742096598903781,0.6250947719808441,0.014860055755722908,0.02062906453297162,0.6691983383966769,0.016942059996719456,0.02351934977492958
ELM,1,LR,22,0.6236220472440944,0.009675752541294871,0.013432097891191652,0.6377952755905512,0.020074879974774737,0.027868401121698312,0.6094488188976378,0.022465106484546634,0.031186567468383414,0.6204235796156372,0.011077859338310143,0.01537853416796046,0.6377952755905512,0.020074879974774737,0.027868401121698312,0.6287775178636561,0.011058085664128933,0.015351083907514364,0.6656767313534626,0.01950592876444248,0.027078570220186636
ELM,1,LR,23,0.6208661417322835,0.016544804243661934,0.02296787037938547,0.6362204724409448,0.02092177993005735,0.029044086739416632,0.605511811023622,0.036628986927915,0.050849185732181876,0.6180167777838558,0.021006192592902827,0.029161270301703655,0.6362204724409448,0.02092177993005735,0.029044086739416632,0.6266008117485402,0.013689663580557412,0.019004299720021597,0.659011718023436,0.018006450523846917,0.02499696070946056
ELM,1,LR,24,0.6259842519685039,0.014465490606987246,0.02008132029502724,0.6433070866141731,0.022354440262328173,0.03103293812288883,0.6086614173228346,0.03509020465379086,0.04871301347570332,0.6224011046049341,0.018277738015472146,0.025373568123572682,0.6433070866141731,0.022354440262328173,0.03103293812288883,0.6323036472990265,0.012666058604980962,0.017583308207973925,0.66000992001984,0.01783118985216787,0.02475365989245207
ELM,1,LR,25,0.6137795275590552,0.017224128231675056,0.023910923260066712,0.6354330708661418,0.0230373839973666,0.0319810160180253,0.5921259842519685,0.016251785386260088,0.022561094993203468,0.608977827664634,0.01585720095162577,0.02201332398213962,0.6354330708661418,0.0230373839973666,0.0319810160180253,0.6218663184472936,0.018553127450032025,0.025755869947376164,0.6564480128960257,0.019327902486554593,0.026831430126267427
ELM,1,LR,26,0.6173228346456693,0.0276881117677437,0.03843726119486078,0.6448818897637796,0.019511042036793498,0.0270856685801819,0.5897637795275591,0.03916481926124691,0.054369485366922723,0.6118027867691369,0.029140512429100558,0.04045351654836594,0.6448818897637796,0.019511042036793498,0.0270856685801819,0.6277949566884233,0.023639291389021988,0.03281659743369728,0.6602052204104407,0.021570979214368412,0.02994531982702832
ELM,1,LR,27,0.6204724409448819,0.025374618967436247,0.03522561831419879,0.6393700787401574,0.019542793143292693,0.02712974618229405,0.6015748031496063,0.03353628258117618,0.04655582380951839,0.6164778567439789,0.026322725589676528,0.03654180130946112,0.6393700787401574,0.019542793143292693,0.02712974618229405,0.6276512318136315,0.02249842511685988,0.03123282114518241,0.6572943145886291,0.019661582512853912,0.027294652264127937
ELM,1,LR,28,0.6220472440944882,0.017115799306522926,0.023760538603071733,0.6417322834645669,0.019606141099194858,0.02721768724333848,0.6023622047244095,0.032369771324558205,0.04493644657522085,0.6179029698998733,0.019071980983101797,0.026476154123479242,0.6417322834645669,0.019606141099194858,0.02721768724333848,0.6293507862019891,0.014979415596093833,0.020794762555249143,0.6557226114452229,0.016444767659667636,0.022828997337399633
ELM,1,LR,29,0.6208661417322835,0.010967234863924483,0.01522496277774889,0.6433070866141731,0.025708390106007104,0.035688966936169464,0.5984251968503937,0.029144496887120862,0.040459047862849595,0.616024924959155,0.012902277590436655,0.017911232730935547,0.6433070866141731,0.025708390106007104,0.035688966936169464,0.6290096564822837,0.012911904424689645,0.01792459691935568,0.6568138136276274,0.015827831439587357,0.021972552563169066
ELM,1,LR,30,0.6133858267716535,0.017500874622750257,0.024295108841507665,0.6354330708661416,0.016441427573087485,0.022824360553881436,0.5913385826771653,0.04386893945569802,0.06089985111099567,0.6096938597196966,0.022627169764086824,0.03141154736798925,0.6354330708661416,0.016441427573087485,0.022824360553881436,0.6218387894436797,0.010329733107320412,0.014339968461909703,0.6499038998077996,0.018480398811692195,0.025654906411413003
ELM,1,LR,31,0.6173228346456693,0.010236220472440926,0.014210152113217054,0.6456692913385826,0.024012520759018753,0.03333472286241907,0.5889763779527559,0.039574273616154544,0.05493789913666533,0.6118125677997648,0.014591214419836547,0.02025585292742336,0.6456692913385826,0.024012520759018753,0.03333472286241907,0.6277655195674615,0.007263216151452958,0.010082960465847578,0.649720999441999,0.014613412786426022,0.020286669200553723
ELM,1,LR,32,0.6035433070866143,0.01060802644512402,0.014726301549686694,0.6307086614173227,0.0167773824824114,0.02329074073566121,0.5763779527559055,0.032807349064566414,0.0455439018624155,0.5987410836092717,0.013259722027592038,0.01840744515989567,0.6307086614173227,0.0167773824824114,0.02329074073566121,0.614007383983169,0.006541454752824161,0.009080995014675759,0.6386694773389547,0.014793499827615884,0.0205366700925643
ELM,1,RF,1,0.5665354330708661,0.01775586186421994,0.024649087880740855,0.5480314960629922,0.015629474993133205,0.021697189670748043,0.5850393700787402,0.03096000512021653,0.042979377336461976,0.5695571074560369,0.019507150256993098,0.027080265923693236,0.5480314960629922,0.015629474993133205,0.021697189670748043,0.5584156436795571,0.014706893448393604,0.020416441163728993,0.6005316510633022,0.01818097304119887,0.025239236803984866
