fold,model,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
2,base,mid_band,RF,1524,508,508,,0.6496062992125984,0.6850393700787402,0.6141732283464567,0.6397058823529411,0.6850393700787402,0.6615969581749049,0.7072431644863291,174,80,156,98,508
2,base,mid_band,AdaBoost,1524,508,508,,0.6358267716535433,0.6417322834645669,0.6299212598425197,0.6342412451361867,0.6417322834645669,0.6379647749510763,0.6869613739227478,163,91,160,94,508
2,base,full_layer,LR,1524,508,508,,0.6692913385826772,0.6929133858267716,0.6456692913385826,0.6616541353383458,0.6929133858267716,0.676923076923077,0.7597185194370389,176,78,164,90,508
2,base,full_layer,RF,1524,508,508,,0.6181102362204725,0.5748031496062992,0.6614173228346457,0.6293103448275862,0.5748031496062992,0.6008230452674898,0.6751348502697007,146,108,168,86,508
2,base,full_layer,AdaBoost,1524,508,508,,0.6181102362204725,0.6062992125984252,0.6299212598425197,0.6209677419354839,0.6062992125984252,0.6135458167330677,0.673739847479695,154,100,160,94,508
2,base,init_band,LR,1524,508,508,,0.6141732283464567,0.6259842519685039,0.6023622047244095,0.6115384615384616,0.6259842519685039,0.6186770428015564,0.6316262632525265,159,95,153,101,508
2,base,init_band,RF,1524,508,508,,0.5354330708661418,0.5275590551181102,0.5433070866141733,0.536,0.5275590551181102,0.5317460317460317,0.5618373736747473,134,120,138,116,508
2,base,init_band,AdaBoost,1524,508,508,,0.5295275590551181,0.5511811023622047,0.5078740157480315,0.5283018867924528,0.5511811023622047,0.5394990366088632,0.541989583979168,140,114,129,125,508
2,base,init_band_emb,LR,1524,508,508,,0.6141732283464567,0.6259842519685039,0.6023622047244095,0.6115384615384616,0.6259842519685039,0.6186770428015564,0.6316417632835265,159,95,153,101,508
2,base,init_band_emb,RF,1524,508,508,,0.5295275590551181,0.5039370078740157,0.5551181102362205,0.5311203319502075,0.5039370078740157,0.5171717171717172,0.5642941285882571,128,126,141,113,508
2,base,init_band_emb,AdaBoost,1524,508,508,,0.531496062992126,0.5511811023622047,0.5118110236220472,0.5303030303030303,0.5511811023622047,0.5405405405405406,0.5423460846921693,140,114,130,124,508
2,base,end_band,LR,1524,508,508,,0.6830708661417323,0.6968503937007874,0.6692913385826772,0.6781609195402298,0.6968503937007874,0.6873786407766991,0.7556885113770229,177,77,170,84,508
2,base,end_band,RF,1524,508,508,,0.6240157480314961,0.610236220472441,0.6377952755905512,0.6275303643724697,0.610236220472441,0.6187624750499002,0.6726393452786905,155,99,162,92,508
2,base,end_band,AdaBoost,1524,508,508,,0.6417322834645669,0.6614173228346457,0.6220472440944882,0.6363636363636364,0.6614173228346457,0.6486486486486487,0.6679893359786719,168,86,158,96,508
2,base,ib_no_pca,LR,1524,508,508,,0.5570866141732284,0.5866141732283464,0.5275590551181102,0.5539033457249071,0.5866141732283464,0.5697896749521989,0.5800886601773203,149,105,134,120,508
2,base,ib_no_pca,RF,1524,508,508,,0.5531496062992126,0.547244094488189,0.5590551181102362,0.5537848605577689,0.547244094488189,0.5504950495049505,0.5667973835947672,139,115,142,112,508
2,base,ib_no_pca,AdaBoost,1524,508,508,,0.5413385826771654,0.5393700787401575,0.5433070866141733,0.541501976284585,0.5393700787401575,0.5404339250493096,0.5582258664517329,137,117,138,116,508
2,base,vote_ensemble,LR,1524,508,508,,0.6732283464566929,0.6968503937007874,0.6496062992125984,0.6654135338345865,0.6968503937007874,0.6807692307692308,,177,77,165,89,508
2,base,vote_ensemble,RF,1524,508,508,,0.6456692913385826,0.6062992125984252,0.6850393700787402,0.6581196581196581,0.6062992125984252,0.6311475409836066,,154,100,174,80,508
2,base,vote_ensemble,AdaBoost,1524,508,508,,0.6594488188976378,0.6771653543307087,0.6417322834645669,0.6539923954372624,0.6771653543307087,0.6653771760154739,,172,82,163,91,508
2,base,avg_ensemble,LR,1524,508,508,,0.6751968503937008,0.6968503937007874,0.6535433070866141,0.6679245283018868,0.6968503937007874,0.6820809248554913,0.7204259408518816,177,77,166,88,508
2,base,avg_ensemble,RF,1524,508,508,,0.639763779527559,0.6299212598425197,0.6496062992125984,0.642570281124498,0.6299212598425197,0.6361829025844931,0.7116219232438465,160,94,165,89,508
