method,ck,fold,clf,layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc
RepNoise,1,3,LR,3,0.5531496062992126,0.5236220472440944,0.5826771653543307,0.5564853556485355,0.5236220472440944,0.539553752535497,0.5736406472812946
RepNoise,1,3,LR,4,0.5610236220472441,0.5787401574803149,0.5433070866141733,0.55893536121673,0.5787401574803149,0.5686653771760155,0.577004154008308
RepNoise,1,3,LR,5,0.5708661417322834,0.562992125984252,0.5787401574803149,0.572,0.562992125984252,0.5674603174603174,0.5927211854423708
RepNoise,1,3,LR,6,0.5590551181102362,0.5354330708661418,0.5826771653543307,0.5619834710743802,0.5354330708661418,0.5483870967741935,0.5876681753363507
RepNoise,1,3,LR,7,0.5708661417322834,0.5393700787401575,0.6023622047244095,0.5756302521008403,0.5393700787401575,0.556910569105691,0.6133052266104533
RepNoise,1,3,LR,8,0.59251968503937,0.5551181102362205,0.6299212598425197,0.6,0.5551181102362205,0.5766871165644172,0.6160487320974641
RepNoise,1,3,LR,9,0.5669291338582677,0.5590551181102362,0.5748031496062992,0.568,0.5590551181102362,0.5634920634920635,0.5994171988343977
RepNoise,1,3,LR,10,0.5787401574803149,0.5078740157480315,0.6496062992125984,0.591743119266055,0.5078740157480315,0.5466101694915254,0.6173972347944695
RepNoise,1,3,LR,11,0.5984251968503937,0.5551181102362205,0.6417322834645669,0.6077586206896551,0.5551181102362205,0.5802469135802469,0.6349122698245397
RepNoise,1,3,LR,12,0.594488188976378,0.531496062992126,0.65748031496063,0.6081081081081081,0.531496062992126,0.5672268907563025,0.6476377952755906
RepNoise,1,3,LR,13,0.6377952755905512,0.6141732283464567,0.6614173228346457,0.6446280991735537,0.6141732283464567,0.6290322580645161,0.6585808171616343
RepNoise,1,3,LR,14,0.6358267716535433,0.610236220472441,0.6614173228346457,0.6431535269709544,0.610236220472441,0.6262626262626263,0.6840783681567364
RepNoise,1,3,LR,15,0.6240157480314961,0.6023622047244095,0.6456692913385826,0.6296296296296297,0.6023622047244095,0.6156941649899397,0.6760648521297042
RepNoise,1,3,LR,16,0.6181102362204725,0.5905511811023622,0.6456692913385826,0.625,0.5905511811023622,0.6072874493927125,0.6773358546717093
RepNoise,1,3,LR,17,0.6141732283464567,0.6141732283464567,0.6141732283464567,0.6141732283464567,0.6141732283464567,0.6141732283464567,0.6820788641577282
RepNoise,1,3,LR,18,0.639763779527559,0.6338582677165354,0.6456692913385826,0.6414342629482072,0.6338582677165354,0.6376237623762376,0.6862948725897453
RepNoise,1,3,LR,19,0.6338582677165354,0.6220472440944882,0.6456692913385826,0.6370967741935484,0.6220472440944882,0.6294820717131474,0.6837218674437349
RepNoise,1,3,LR,20,0.6279527559055118,0.5984251968503937,0.65748031496063,0.6359832635983264,0.5984251968503937,0.6166328600405679,0.6757858515717031
RepNoise,1,3,LR,21,0.6338582677165354,0.5905511811023622,0.6771653543307087,0.646551724137931,0.5905511811023622,0.6172839506172839,0.6774133548267096
RepNoise,1,3,LR,22,0.6456692913385826,0.6062992125984252,0.6850393700787402,0.6581196581196581,0.6062992125984252,0.6311475409836066,0.6866358732717465
RepNoise,1,3,LR,23,0.6299212598425197,0.5787401574803149,0.6811023622047244,0.6447368421052632,0.5787401574803149,0.6099585062240664,0.6829623659247319
RepNoise,1,3,LR,24,0.6476377952755905,0.5984251968503937,0.6968503937007874,0.6637554585152838,0.5984251968503937,0.629399585921325,0.6819703639407279
RepNoise,1,3,LR,25,0.6456692913385826,0.6023622047244095,0.6889763779527559,0.6594827586206896,0.6023622047244095,0.6296296296296297,0.6884183768367538
RepNoise,1,3,LR,26,0.6377952755905512,0.6062992125984252,0.6692913385826772,0.6470588235294118,0.6062992125984252,0.6260162601626016,0.693254386508773
RepNoise,1,3,LR,27,0.6358267716535433,0.6259842519685039,0.6456692913385826,0.6385542168674698,0.6259842519685039,0.6322067594433399,0.6937503875007749
RepNoise,1,3,LR,28,0.6417322834645669,0.6338582677165354,0.6496062992125984,0.644,0.6338582677165354,0.6388888888888888,0.6891933783867568
RepNoise,1,3,LR,29,0.6259842519685039,0.5866141732283464,0.6653543307086615,0.6367521367521367,0.5866141732283464,0.610655737704918,0.6855508711017423
RepNoise,1,3,LR,30,0.6259842519685039,0.5866141732283464,0.6653543307086615,0.6367521367521367,0.5866141732283464,0.610655737704918,0.6828538657077314
RepNoise,1,3,LR,31,0.6181102362204725,0.5748031496062992,0.6614173228346457,0.6293103448275862,0.5748031496062992,0.6008230452674898,0.6768553537107076
RepNoise,1,3,LR,32,0.6515748031496063,0.6220472440944882,0.6811023622047244,0.6610878661087866,0.6220472440944882,0.640973630831643,0.6802653605307212
RepNoise,1,3,RF,1,0.5807086614173228,0.5826771653543307,0.5787401574803149,0.5803921568627451,0.5826771653543307,0.581532416502947,0.5921864343728688
RepNoise,1,3,RF,2,0.5708661417322834,0.5748031496062992,0.5669291338582677,0.5703125,0.5748031496062992,0.5725490196078431,0.6184357368714738
RepNoise,1,3,RF,3,0.5708661417322834,0.547244094488189,0.594488188976378,0.5743801652892562,0.547244094488189,0.5604838709677419,0.6238142476284952
