model,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
ELM,AdaBoost,21,0.5460629921259843,0.011980412641498355,0.01663147901836897,0.5346456692913386,0.012299605788829396,0.017074590144128942,0.5574803149606298,0.020167320432859362,0.027996729050383962,0.5472986648989785,0.012876226143025837,0.01787506752411201,0.5346456692913386,0.012299605788829396,0.017074590144128942,0.5408218827814548,0.010832984381026405,0.015038593229692487,0.5616405232810466,0.011368429661974194,0.015781910444386857
ELM,AdaBoost,22,0.5377952755905511,0.02440944881889764,0.03388574734690228,0.5456692913385826,0.019060973916394018,0.02646087386523754,0.5299212598425196,0.04939964453971063,0.06857770064039537,0.5383634046231842,0.026180588068729513,0.03634448279731197,0.5456692913385826,0.019060973916394018,0.02646087386523754,0.5415588460799164,0.016841175206597427,0.023379299234067976,0.5468162936325873,0.03238833655883214,0.04496221925213419
ELM,AdaBoost,23,0.5385826771653544,0.00822071378654375,0.011412180276940728,0.5244094488188976,0.030839615791442752,0.04281225015516598,0.552755905511811,0.0417099925610993,0.05790275234205037,0.5404045611765155,0.01143998141666537,0.015881240203927175,0.5244094488188976,0.030839615791442752,0.04281225015516598,0.5315240137696389,0.013162927167055345,0.01827307235152297,0.5485491970983942,0.016372372903226493,0.022728497303818134
ELM,AdaBoost,24,0.5531496062992125,0.02410915101164544,0.033468867158378775,0.5724409448818898,0.03175093724985188,0.044077367156396846,0.5338582677165353,0.036305958687869296,0.0504007506442241,0.5514518078335874,0.02366962621314537,0.03285870892067448,0.5724409448818898,0.03175093724985188,0.044077367156396846,0.5614335737469318,0.02445566826456259,0.033949910223742975,0.5689534379068758,0.019108096227408562,0.02652629012011851
ELM,AdaBoost,25,0.5330708661417323,0.01066631274342055,0.014807215903489443,0.5401574803149606,0.026632337835098843,0.03697161201111716,0.5259842519685038,0.019383517519828624,0.02690863616972198,0.5325053135010317,0.010009098090525475,0.013894855700442044,0.5401574803149606,0.026632337835098843,0.03697161201111716,0.5360743735779604,0.016777253576382944,0.02329056178540534,0.5383238266476533,0.01163810927757635,0.01615628576874197
ELM,AdaBoost,26,0.5362204724409448,0.010083660216429717,0.013998364525192031,0.5393700787401575,0.02977585889951028,0.041335518847302806,0.5330708661417323,0.024599211577658757,0.034149180288257835,0.5359382795154368,0.009406949095481053,0.013058938885496616,0.5393700787401575,0.02977585889951028,0.041335518847302806,0.5373031510128146,0.017609904888525384,0.02444646711537254,0.5450260400520801,0.016864729932919906,0.023411998436369135
ELM,AdaBoost,27,0.5326771653543306,0.017097677756384634,0.023735381858481702,0.5236220472440944,0.0278388496530137,0.03864651892672367,0.5417322834645669,0.03482416438975745,0.04834369038127278,0.5335523279111591,0.017269512020974636,0.023973926059894787,0.5236220472440944,0.0278388496530137,0.03864651892672367,0.5281747002516118,0.0189794495123768,0.026347699848993655,0.5550902101804203,0.02489260225004829,0.03455647183639114
ELM,AdaBoost,28,0.5385826771653544,0.015176641942831807,0.021068556617757486,0.5385826771653542,0.03288285514617496,0.04564872110776285,0.5385826771653542,0.018699751318169956,0.025959416507874526,0.5382891202022242,0.014185857003170169,0.019693126619743866,0.5385826771653542,0.03288285514617496,0.04564872110776285,0.5381789830749016,0.022312608456760558,0.03097486626698393,0.5455158410316822,0.015583914934401063,0.02163394216971835
ELM,AdaBoost,29,0.537007874015748,0.01203205259050091,0.01670316676018937,0.5141732283464566,0.029629744444451628,0.041132679465529697,0.5598425196850394,0.03542432087937635,0.04917684115525033,0.5391733922987649,0.01357543398114606,0.018845723613944418,0.5141732283464566,0.029629744444451628,0.041132679465529697,0.5258203310868088,0.01671820870273565,0.02320859436019282,0.5516817533635068,0.012275297085857926,0.017040844254439518
ELM,AdaBoost,30,0.5255905511811023,0.026614872096307977,0.036947365678629884,0.5125984251968504,0.05062692096276695,0.07028143344915505,0.5385826771653544,0.03362859291978365,0.04668397110341133,0.5255999881195368,0.026382567405462236,0.03662487506772331,0.5125984251968504,0.05062692096276695,0.07028143344915505,0.5183967767426443,0.0370839551372828,0.0514807828611418,0.53000496000992,0.020020632066476605,0.02779309295196753
ELM,AdaBoost,31,0.5362204724409448,0.017278037998024975,0.023985762013519006,0.5401574803149606,0.03063791568243105,0.04253224551497428,0.5322834645669291,0.038846917743445696,0.05392816731040566,0.5362901316452279,0.01769911103865703,0.024570305104815813,0.5401574803149606,0.03063791568243105,0.04253224551497428,0.5377586956341647,0.019288002143408263,0.026776039570055258,0.5479477958955917,0.026124681920136256,0.03626687262100587
ELM,AdaBoost,32,0.5283464566929134,0.011718800052076572,0.016268302521689853,0.5275590551181102,0.026933277758247366,0.03738938359940932,0.5291338582677165,0.03184842270260895,0.044212698660464546,0.5286007945218294,0.012501536275928997,0.01735491460037789,0.5275590551181102,0.026933277758247366,0.03738938359940932,0.5277033865554942,0.015451784451012578,0.02145051565279266,0.5406488312976626,0.01448541297246705,0.020108976972087415
ELM,LR,1,0.5515748031496063,0.02235444026232817,0.031032938122888817,0.547244094488189,0.04724409448818899,0.06558531744561731,0.5559055118110237,0.007634141507742237,0.010597887410779138,0.5510588186731098,0.020278118929394483,0.02815054202206807,0.547244094488189,0.04724409448818899,0.06558531744561731,0.5487882266957047,0.03357187980227509,0.046605240674657766,0.5663711327422655,0.014758748279638472,0.020488427209924335
ELM,LR,2,0.5578740157480315,0.015278431426718284,0.0212098630749061,0.5464566929133858,0.013033815241926662,0.018093836265249873,0.5692913385826771,0.022075347667521544,0.030645495488514918,0.5594136358961663,0.01617255738758931,0.022451108898651418,0.5464566929133858,0.013033815241926662,0.018093836265249873,0.5528047819397168,0.01360804897885203,0.018891000489312807,0.5747101494202989,0.014222519657903504,0.019744022543882824
