method,ck,fold,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
GradDiff,1,1,per_layer,LR,1524,508,508,16,0.6437007874015748,0.6614173228346457,0.6259842519685039,0.6387832699619772,0.6614173228346457,0.6499032882011605,0.7042904085808172,168,86,159,95,508
GradDiff,1,1,per_layer,RF,1524,508,508,20,0.6141732283464567,0.6062992125984252,0.6220472440944882,0.616,0.6062992125984252,0.6111111111111112,0.6764291028582057,154,100,158,96,508
GradDiff,1,1,per_layer,AdaBoost,1524,508,508,20,0.6023622047244095,0.6377952755905512,0.5669291338582677,0.5955882352941176,0.6377952755905512,0.6159695817490495,0.6405542811085623,162,92,144,110,508
GradDiff,1,1,mid_band,LR,1524,508,508,,0.6771653543307087,0.7165354330708661,0.6377952755905512,0.6642335766423357,0.7165354330708661,0.6893939393939394,0.7471944943889887,182,72,162,92,508
GradDiff,1,1,mid_band,RF,1524,508,508,,0.6358267716535433,0.6417322834645669,0.6299212598425197,0.6342412451361867,0.6417322834645669,0.6379647749510763,0.6705700911401823,163,91,160,94,508
GradDiff,1,1,mid_band,AdaBoost,1524,508,508,,0.6122047244094488,0.6456692913385826,0.5787401574803149,0.6051660516605166,0.6456692913385826,0.6247619047619047,0.6813193626387253,164,90,147,107,508
GradDiff,1,1,full_layer,LR,1524,508,508,,0.6692913385826772,0.6968503937007874,0.6417322834645669,0.6604477611940298,0.6968503937007874,0.6781609195402298,0.7321904643809288,177,77,163,91,508
GradDiff,1,1,full_layer,RF,1524,508,508,,0.6043307086614174,0.5748031496062992,0.6338582677165354,0.6108786610878661,0.5748031496062992,0.592292089249493,0.6474595449190899,146,108,161,93,508
GradDiff,1,1,full_layer,AdaBoost,1524,508,508,,0.6377952755905512,0.7047244094488189,0.5708661417322834,0.6215277777777778,0.7047244094488189,0.6605166051660517,0.6922701345402691,179,75,145,109,508
GradDiff,1,1,init_band,LR,1524,508,508,,0.6259842519685039,0.6299212598425197,0.6220472440944882,0.625,0.6299212598425197,0.6274509803921569,0.6546283092566185,160,94,158,96,508
GradDiff,1,1,init_band,RF,1524,508,508,,0.5590551181102362,0.515748031496063,0.6023622047244095,0.5646551724137931,0.515748031496063,0.5390946502057613,0.5935581871163742,131,123,153,101,508
GradDiff,1,1,init_band,AdaBoost,1524,508,508,,0.5590551181102362,0.5,0.6181102362204725,0.5669642857142857,0.5,0.5313807531380753,0.5757641515283031,127,127,157,97,508
