method,probe_quad,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
RMU,cross,eb,LR,1146,502,399,174,71,,0.5572,0.8761,0.6811,0.6712
RMU,cross,pl,RF,1146,419,400,173,154,,0.5116,0.7312,0.602,0.5311
RMU,cross,mb,RF,1146,399,398,175,174,,0.5006,0.6963,0.5825,0.5166
RMU,cross,vote,RF,1146,394,340,233,179,,0.5368,0.6876,0.6029,
RMU,cross,avg,RF,1146,443,370,203,130,,0.5449,0.7731,0.6392,0.5998
RMU,cross,fl,RF,1146,339,294,279,234,,0.5355,0.5916,0.5622,0.5505
RMU,cross,ib,RF,1146,322,263,310,251,,0.5504,0.562,0.5561,0.5782
RMU,cross,ibe,RF,1146,318,254,319,255,,0.5559,0.555,0.5555,0.5801
RMU,cross,eb,RF,1146,411,360,213,162,,0.5331,0.7173,0.6116,0.568
RMU,cross,pl,AdaBoost,1146,301,251,322,272,,0.5453,0.5253,0.5351,0.5656
RMU,cross,mb,AdaBoost,1146,476,461,112,97,,0.508,0.8307,0.6305,0.5332
RMU,cross,vote,AdaBoost,1146,375,320,253,198,,0.5396,0.6545,0.5915,
RMU,cross,avg,AdaBoost,1146,151,137,436,422,,0.5243,0.2635,0.3508,0.5378
RMU,cross,fl,AdaBoost,1146,321,280,293,252,,0.5341,0.5602,0.5468,0.5544
RMU,cross,ib,AdaBoost,1146,415,367,206,158,,0.5307,0.7243,0.6125,0.5639
RMU,cross,ibe,AdaBoost,1146,389,343,230,184,,0.5314,0.6789,0.5962,0.5606
RMU,cross,eb,AdaBoost,1146,323,293,280,250,,0.5244,0.5637,0.5433,0.5325
RMU-LAT,N/A,gen,-,1146,231,199,299,260,157,0.5372,0.4031,0.4606,
RMU-LAT,N/A,logit,-,1146,286,250,323,287,,0.5336,0.4991,0.5158,0.546
RMU-LAT,base,pl,LR,1146,3,0,573,570,,1.0,0.0052,0.0104,0.5138
RMU-LAT,base,mb,LR,1146,48,34,539,525,,0.5854,0.0838,0.1466,0.545
RMU-LAT,base,vote,LR,1146,0,0,573,573,,0.0,0.0,0.0,
RMU-LAT,base,avg,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5318
RMU-LAT,base,fl,LR,1146,31,27,546,542,,0.5345,0.0541,0.0983,0.573
RMU-LAT,base,ib,LR,1146,265,183,390,308,,0.5915,0.4625,0.5191,0.6135
RMU-LAT,base,ibe,LR,1146,265,183,390,308,,0.5915,0.4625,0.5191,0.6135
RMU-LAT,base,eb,LR,1146,7,8,565,566,,0.4667,0.0122,0.0238,0.5332
RMU-LAT,base,pl,RF,1146,435,444,129,138,,0.4949,0.7592,0.5992,0.4838
RMU-LAT,base,mb,RF,1146,392,390,183,181,,0.5013,0.6841,0.5786,0.4919
RMU-LAT,base,vote,RF,1146,409,377,196,164,,0.5204,0.7138,0.6019,
RMU-LAT,base,avg,RF,1146,487,487,86,86,,0.5,0.8499,0.6296,0.5017
RMU-LAT,base,fl,RF,1146,276,305,268,297,,0.475,0.4817,0.4783,0.4783
RMU-LAT,base,ib,RF,1146,172,140,433,401,,0.5513,0.3002,0.3887,0.5146
RMU-LAT,base,ibe,RF,1146,174,157,416,399,,0.5257,0.3037,0.385,0.5152
RMU-LAT,base,eb,RF,1146,232,230,343,341,,0.5022,0.4049,0.4483,0.4961
RMU-LAT,base,pl,AdaBoost,1146,354,347,226,219,,0.505,0.6178,0.5557,0.5073
RMU-LAT,base,mb,AdaBoost,1146,336,314,259,237,,0.5169,0.5864,0.5495,0.5363
RMU-LAT,base,vote,AdaBoost,1146,335,304,269,238,,0.5243,0.5846,0.5528,
RMU-LAT,base,avg,AdaBoost,1146,481,456,117,92,,0.5133,0.8394,0.6371,0.525
RMU-LAT,base,fl,AdaBoost,1146,150,153,420,423,,0.495,0.2618,0.3425,0.5111
RMU-LAT,base,ib,AdaBoost,1146,222,170,403,351,,0.5663,0.3874,0.4601,0.5595
RMU-LAT,base,ibe,AdaBoost,1146,220,170,403,353,,0.5641,0.3839,0.4569,0.5629
RMU-LAT,base,eb,AdaBoost,1146,168,151,422,405,,0.5266,0.2932,0.3767,0.5135
RMU-LAT,method,pl,LR,1146,323,247,326,250,,0.5667,0.5637,0.5652,0.5966
RMU-LAT,method,mb,LR,1146,318,248,325,255,,0.5618,0.555,0.5584,0.6002
RMU-LAT,method,vote,LR,1146,327,238,335,246,,0.5788,0.5707,0.5747,
RMU-LAT,method,avg,LR,1146,331,235,338,242,,0.5848,0.5777,0.5812,0.6183
RMU-LAT,method,fl,LR,1146,320,236,337,253,,0.5755,0.5585,0.5669,0.6118
RMU-LAT,method,ib,LR,1146,312,230,343,261,,0.5756,0.5445,0.5596,0.6088
RMU-LAT,method,ibe,LR,1146,312,230,343,261,,0.5756,0.5445,0.5596,0.6088
RMU-LAT,method,eb,LR,1146,314,260,313,259,,0.547,0.548,0.5475,0.5815
RMU-LAT,method,pl,RF,1146,282,214,359,291,,0.5685,0.4921,0.5276,0.5799
