model,probe_type,clf,n_folds_complete,mean_n_test,mean_best_layer,std_best_layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
RMU,init_band_emb,AdaBoost,5,508.0,,,0.5488188976377952,0.03098502735425356,0.521259842519685,0.05039370078740156,0.5763779527559055,0.032139104932218186,0.5510031300690921,0.03136025761168466,0.521259842519685,0.05039370078740156,0.5352191317816738,0.039740760760279034,0.5548065596131192,0.030774969580021065
RMU,end_band,LR,5,508.0,,,0.5464566929133858,0.015678982481684915,0.5551181102362205,0.01896314106896421,0.5377952755905511,0.016997663893640092,0.5456479999770711,0.01523587925654861,0.5551181102362205,0.01896314106896421,0.5502999311558104,0.016425668338090355,0.5671647343294686,0.0031813284054560196
RMU,end_band,RF,5,508.0,,,0.5055118110236221,0.00866141732283463,0.4921259842519685,0.021707163389118444,0.5188976377952755,0.026280817745320685,0.5058094350894665,0.009063272789704847,0.4921259842519685,0.021707163389118444,0.49859463979265345,0.012317664794931876,0.5110484220968441,0.009738257113017021
RMU,end_band,AdaBoost,5,508.0,,,0.5244094488188976,0.02435223164439704,0.5354330708661417,0.02452348268094085,0.5133858267716536,0.025948436304384398,0.5239252357252091,0.023843585440001248,0.5354330708661417,0.02452348268094085,0.5295931278739479,0.023888164035310057,0.534752619505239,0.026523509930691743
RMU,ib_no_pca,LR,5,508.0,,,0.5692913385826771,0.012659791488829527,0.5716535433070866,0.015629474993133205,0.5669291338582677,0.02489982409581403,0.5692192616571956,0.0137922237088732,0.5716535433070866,0.015629474993133205,0.5702829221576997,0.011489795664986318,0.596266042532085,0.009606107916261849
RMU,ib_no_pca,RF,5,508.0,,,0.5755905511811024,0.019351505082589766,0.5543307086614172,0.025073517052111294,0.5968503937007874,0.031357964963369886,0.5793047412945111,0.021787274079540734,0.5543307086614172,0.025073517052111294,0.5662745375886085,0.019883383246700796,0.5988173476346953,0.019468047327812578
RMU,ib_no_pca,AdaBoost,5,508.0,,,0.552755905511811,0.03143202150584578,0.5653543307086615,0.045478831742342206,0.5401574803149607,0.030332850841351525,0.5510459383847648,0.029978927619365724,0.5653543307086615,0.045478831742342206,0.5578343120128599,0.035899881248855244,0.5738793477586956,0.031843828334130256
RMU,vote_ensemble,LR,5,508.0,,,0.5834645669291338,0.005918620621406688,0.5952755905511811,0.016213590773207887,0.5716535433070866,0.02507351705211126,0.5818409237105124,0.008659776353229818,0.5952755905511811,0.016213590773207887,0.588253231993807,0.005240162251031197,,
RMU,vote_ensemble,RF,5,508.0,,,0.5484251968503937,0.012299605788829356,0.5133858267716536,0.03647633014771801,0.5834645669291338,0.02133262548684105,0.5517500333432623,0.011081513803126984,0.5133858267716536,0.03647633014771801,0.5314106898046989,0.023722898534159275,,
RMU,vote_ensemble,AdaBoost,5,508.0,,,0.5448818897637795,0.014379513675393418,0.5338582677165353,0.04103563534108784,0.5559055118110235,0.023805065287922814,0.5455075263213929,0.012301721470990745,0.5338582677165353,0.04103563534108784,0.53909279962457,0.025605498894548894,,
