model,probe_type,clf,n_folds_complete,mean_n_test,mean_best_layer,std_best_layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
RMU,avg_ensemble,LR,5,508.0,,,0.5858267716535432,0.010608026445124022,0.5992125984251968,0.012299605788829392,0.5724409448818897,0.027230892072111143,0.5839727523996677,0.012929462795446923,0.5992125984251968,0.012299605788829392,0.5913099915578084,0.006898074657458237,0.6208630417260834,0.01071838788227484
RMU,avg_ensemble,RF,5,508.0,,,0.547244094488189,0.01063720951661911,0.5574803149606299,0.025466081305190937,0.537007874015748,0.03797529307649603,0.5468609988268163,0.012518364190970221,0.5574803149606299,0.025466081305190937,0.5516139660770994,0.010995867321817046,0.5654473308946617,0.006853680801334022
RMU,avg_ensemble,AdaBoost,5,508.0,,,0.537007874015748,0.009675752541294923,0.5488188976377952,0.04057983850937047,0.5251968503937008,0.03194561066945008,0.5360273595439897,0.008605999393892703,0.5488188976377952,0.04057983850937047,0.5417075554426739,0.02197272892836819,0.5536797073594146,0.017760869717801275
RMU-LAT,per_layer,LR,5,508.0,12.4,3.826225293941799,0.5905511811023623,0.014030338331657871,0.6070866141732283,0.025684262094960768,0.5740157480314961,0.03163355815212705,0.5879816437267357,0.014590058481736605,0.6070866141732283,0.025684262094960768,0.5970400229640663,0.015284752294716647,0.61249922499845,0.021109970166288235
RMU-LAT,per_layer,RF,5,508.0,8.8,9.282241108697834,0.5523622047244094,0.026864129305877123,0.5307086614173229,0.04308461108757308,0.5740157480314961,0.038926636517506386,0.5547575041776923,0.027751412788780412,0.5307086614173229,0.04308461108757308,0.5418894466783071,0.03261915652696606,0.5812697625395251,0.025261894507651327
RMU-LAT,per_layer,AdaBoost,5,508.0,4.6,3.0066592756745814,0.55,0.016823512298599606,0.5472440944881889,0.02254774970594702,0.552755905511811,0.01699766389364005,0.5501913658487851,0.016573121203995192,0.5472440944881889,0.02254774970594702,0.5486493638777075,0.018871434099837693,0.5679025358050716,0.014400778924902113
RMU-LAT,mid_band,LR,5,508.0,,,0.5795275590551181,0.017808162012438823,0.5763779527559054,0.013546968924476583,0.5826771653543307,0.022409841686232623,0.5802021089840164,0.01866335126565587,0.5763779527559054,0.013546968924476583,0.5782684192476679,0.01600237933463716,0.6123783247566494,0.011072106886483413
RMU-LAT,mid_band,RF,5,508.0,,,0.545275590551181,0.01720612077434029,0.4716535433070866,0.0392438922657547,0.6188976377952755,0.021764212537142127,0.552605365013153,0.018490098493976967,0.4716535433070866,0.0392438922657547,0.508445439985916,0.02847311007546883,0.5581979663959328,0.023805840373947645
RMU-LAT,mid_band,AdaBoost,5,508.0,,,0.5433070866141732,0.011478251761506504,0.5511811023622047,0.025756578320938767,0.5354330708661417,0.010266460480634117,0.5424053913004173,0.010300039115877149,0.5511811023622047,0.025756578320938767,0.5466234145776611,0.017524378086766875,0.5470363940727883,0.017366201391599605
RMU-LAT,full_layer,LR,5,508.0,,,0.6047244094488189,0.01893860389103259,0.610236220472441,0.01879895493907609,0.5992125984251968,0.021621307429521237,0.603659263693505,0.018962981920847936,0.610236220472441,0.01879895493907609,0.6068989790539814,0.018391110038236073,0.6354454708909418,0.016300682160814445
RMU-LAT,full_layer,RF,5,508.0,,,0.5574803149606299,0.013316168917549396,0.48267716535433075,0.02193446972784901,0.6322834645669291,0.039022084073586975,0.5686023883237505,0.01933497380690096,0.48267716535433075,0.02193446972784901,0.5215478525990305,0.01190904157720528,0.5781186062372126,0.01827578439700591
RMU-LAT,full_layer,AdaBoost,5,508.0,,,0.5440944881889764,0.022082367972252236,0.5118110236220472,0.021128201362202736,0.5763779527559054,0.035962794477698394,0.5477119840997242,0.024752124182727125,0.5118110236220472,0.021128201362202736,0.5289201039796803,0.01993253240582516,0.5528024056048112,0.020599529186263295
