model,clf,layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
ELM,LR,5,0.5704724409448818,0.010882106268571046,0.5771653543307086,0.023569495349757087,0.5637795275590551,0.017677121512317803,0.5694975569751541,0.010413509965896654,0.5771653543307086,0.023569495349757087,0.5731313815709372,0.015300649948908913,0.594249488498977,0.01425548426517016
ELM,LR,6,0.5665354330708661,0.011505227713545221,0.5716535433070866,0.008768132854850412,0.5614173228346456,0.018058810930991643,0.566000857352914,0.012026378261899414,0.5716535433070866,0.008768132854850412,0.5687746075562872,0.009471074528283776,0.5967139934279869,0.0065520271959196175
ELM,LR,7,0.5807086614173228,0.011478251761506504,0.5913385826771653,0.0219061854224308,0.5700787401574804,0.032408056105916024,0.5795071233851394,0.013785062998448679,0.5913385826771653,0.0219061854224308,0.5850036392845913,0.010769094461078222,0.6080507161014322,0.017585360007071477
ELM,LR,8,0.5637795275590551,0.014118441792945729,0.5708661417322834,0.03159433487832896,0.5566929133858267,0.03410457925623262,0.563199761243889,0.014667736198054221,0.5708661417322834,0.03159433487832896,0.5664997981159885,0.018283213517142825,0.5960784921569843,0.016601963310393177
ELM,LR,9,0.574015748031496,0.014118441792945767,0.5913385826771653,0.012044927984864872,0.5566929133858267,0.01822966441384284,0.5716342533137835,0.014154100746035852,0.5913385826771653,0.012044927984864872,0.5812984316962287,0.012742534432393265,0.604234608469217,0.018990427467118726
ELM,LR,10,0.5775590551181102,0.02187077860209629,0.6031496062992125,0.03297699463208176,0.5519685039370079,0.030024686558956865,0.5738120680331313,0.020741207487724185,0.6031496062992125,0.03297699463208176,0.5878451545116185,0.02429583142079025,0.6067084134168269,0.02009341088862295
ELM,LR,11,0.5755905511811024,0.015429856647453062,0.5889763779527559,0.026421986985137813,0.5622047244094488,0.02074321239735349,0.5735820882464532,0.01470390208738618,0.5889763779527559,0.026421986985137813,0.5809989523982887,0.018521980934970247,0.6076849153698307,0.016110260085451182
ELM,LR,12,0.581496062992126,0.01772090934634158,0.5826771653543308,0.03944874031456805,0.5803149606299213,0.011301338657013656,0.580749443974088,0.014707812644643077,0.5826771653543308,0.03944874031456805,0.5814041475647909,0.0268417058129352,0.6111848223696448,0.01906837828318776
ELM,LR,13,0.5830708661417322,0.018398931410311695,0.5889763779527559,0.04230039690886077,0.5771653543307087,0.01954279314329269,0.581637688365317,0.015085319842484252,0.5889763779527559,0.04230039690886077,0.5848453830344151,0.027775574040834708,0.6072540145080291,0.01216549869741649
ELM,LR,14,0.5807086614173228,0.012006260379509394,0.5834645669291338,0.008029951989909913,0.5779527559055118,0.024573994542247617,0.5806070399302927,0.014286271728225252,0.5834645669291338,0.008029951989909913,0.5819175607024799,0.008082473550834385,0.6092101184202369,0.00861577222690034
ELM,LR,15,0.5755905511811024,0.011585778716190659,0.5803149606299213,0.024472866563653634,0.5708661417322834,0.030597416106654247,0.5752518793680755,0.013209665572674154,0.5803149606299213,0.024472866563653634,0.5774060420486228,0.013032002674795456,0.599277698555397,0.010221670520505717
ELM,LR,16,0.5830708661417322,0.009514209428027205,0.5921259842519685,0.033830789069198154,0.574015748031496,0.02810483196468467,0.5816919592329675,0.00936893833653089,0.5921259842519685,0.033830789069198154,0.5863834637362098,0.01723034882230044,0.6053568107136215,0.008049161173421934
ELM,LR,17,0.5661417322834645,0.00911483220692142,0.5708661417322834,0.014085467574801799,0.5614173228346457,0.0260676304838533,0.5658603536585719,0.011231046593240328,0.5708661417322834,0.014085467574801799,0.568149330390837,0.006733861743437396,0.5950492900985802,0.004171880494246894
ELM,LR,18,0.562992125984252,0.015649296782954136,0.5803149606299213,0.02396082528299676,0.5456692913385827,0.027570301417341115,0.5610849727001501,0.01573973233335496,0.5803149606299213,0.02396082528299676,0.5703027403393475,0.016413954791493508,0.5909014818029636,0.014585681040922081
ELM,LR,19,0.5637795275590551,0.013785150708670525,0.5826771653543308,0.030189432303434346,0.5448818897637795,0.018897637795275583,0.561305536696921,0.01234883614392264,0.5826771653543308,0.030189432303434346,0.5715528404620743,0.019383860733272484,0.5920205840411681,0.014239855449867543
ELM,LR,20,0.5618110236220473,0.01248720592689266,0.5771653543307087,0.022215332251442343,0.5464566929133858,0.015227621736861166,0.5598941807870946,0.011895378879175167,0.5771653543307087,0.022215332251442343,0.5682874640304797,0.015695141287357075,0.5891561783123567,0.010178378343190393
ELM,LR,21,0.5562992125984252,0.011980412641498355,0.578740157480315,0.03599725811232269,0.5338582677165353,0.023437600104153102,0.5536996265044536,0.010115694282234645,0.578740157480315,0.03599725811232269,0.5655329380168721,0.02081424718522157,0.5870078740157479,0.011740851853671326
ELM,LR,22,0.5574803149606299,0.013717520779672688,0.5755905511811024,0.031239109330515526,0.5393700787401574,0.025876656260086582,0.5554740111736793,0.013391673512069865,0.5755905511811024,0.031239109330515526,0.5650167033352191,0.018931528070434227,0.5840473680947362,0.007939917772176546
ELM,LR,23,0.5625984251968503,0.020623308431037473,0.5795275590551181,0.03721670015148497,0.5456692913385826,0.02941975069648728,0.5604814628324561,0.020281925404244283,0.5795275590551181,0.03721670015148497,0.5694744400845461,0.025378416963635585,0.5854578709157418,0.01659426861714317
ELM,LR,24,0.5578740157480315,0.009366438782181337,0.5732283464566928,0.014646515935226995,0.5425196850393701,0.013033815241926629,0.5561523520549414,0.009146440623111164,0.5732283464566928,0.014646515935226995,0.5645055721881735,0.01066550635304535,0.5827236654473309,0.013750695932417347
ELM,LR,25,0.5641732283464567,0.024636988735688238,0.5748031496062992,0.037266644302989704,0.5535433070866141,0.013081297421918206,0.5622929065630329,0.022659443541999478,0.5748031496062992,0.037266644302989704,0.5683855229114696,0.0297491613553549,0.5878820757641515,0.013418821490666009
ELM,LR,26,0.5716535433070866,0.017006780367287543,0.5889763779527558,0.032807349064566386,0.5543307086614173,0.018024445893322166,0.5690227122648313,0.015042654070637634,0.5889763779527558,0.032807349064566386,0.5786016616168793,0.02222167261717091,0.5828662657325314,0.012616146995339849
ELM,LR,27,0.571259842519685,0.006516907620963314,0.5921259842519685,0.013773902113807822,0.5503937007874016,0.0062992125984251855,0.5683536182098499,0.005609107802101102,0.5921259842519685,0.013773902113807822,0.5799579601870934,0.009151721839367764,0.5878975757951517,0.00954423090191185
ELM,LR,28,0.5751968503937007,0.020396588735415156,0.5866141732283465,0.02716250127663045,0.5637795275590551,0.022326687998043812,0.5734501788877978,0.01988587321819502,0.5866141732283465,0.02716250127663045,0.5798475166958146,0.022415861425871157,0.5927025854051708,0.011923989188417769
ELM,LR,29,0.5700787401574803,0.01663822567646882,0.5779527559055118,0.035336701846168314,0.5622047244094488,0.02380506528792279,0.5688000809185182,0.015352164344893048,0.5779527559055118,0.035336701846168314,0.5729908447900532,0.023524126195815395,0.5881207762415526,0.013393804146516418
