method,feature_variant,direction,selected_distractor_rule,n_suppressed,n_forgotten,auc_mean,auc_ci95_low,auc_ci95_high,balanced_accuracy_mean,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,average_precision_mean,average_precision_ci95_low,average_precision_ci95_high
TAR,correct_minus_mean_wrong,mean_difference,mean_all_wrong,190,54,0.7071832358674464,0.6703825536062379,0.7266593567251463,0.5791033138401559,0.5581359649122807,0.6008820662768031,0.8823503584679898,0.8672216894508613,0.8989560330005514
TAR,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,190,54,0.6648440545808967,0.6181652046783626,0.7004483430799221,0.5725341130604289,0.5228874269005848,0.6267324561403509,0.8689364734925084,0.8436076594742657,0.8919041885887686
TAR,correct_minus_strongest_wrong,mean_difference,max_base_ext,190,54,0.6800194931773879,0.6388961988304093,0.7187305068226121,0.5680506822612086,0.5362012670565303,0.5981993177387914,0.8674800750476992,0.8452614535665406,0.8876216250702665
TAR,correct_minus_strongest_wrong,logistic_regression,max_base_ext,190,54,0.6250828460038986,0.5790911306042885,0.6656237816764133,0.5766715399610136,0.5221734892787524,0.6330409356725146,0.8370804157112696,0.8016817869716347,0.8620396437634499
TAR,correct_minus_closest_wrong,mean_difference,min_hidden_dist,190,54,0.651603313840156,0.6138011695906433,0.6950633528265107,0.5583382066276803,0.5335063352826511,0.5910380116959064,0.8550847205700236,0.8357188076085539,0.877720426969968
TAR,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,190,54,0.608659844054581,0.5505043859649124,0.6610014619883041,0.5576900584795321,0.4936744639376219,0.605687134502924,0.8331048162723391,0.8051001587876488,0.8652748496440308
TAR,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,190,54,0.6784746588693957,0.6533576998050683,0.7149147173489279,0.535945419103314,0.4999488304093567,0.5715399610136452,0.8702823143718632,0.8480644369678803,0.8964150948270032
TAR,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,190,54,0.6197319688109161,0.5668250487329435,0.6687694931773879,0.5417397660818714,0.5008893762183236,0.5833211500974659,0.8530108747495737,0.826490542397897,0.8796085236987121
TAR,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,190,54,0.7023050682261208,0.6780238791423002,0.7325999025341131,0.5850146198830409,0.5648952241715399,0.6109210526315789,0.8806826851632199,0.8637899705616283,0.9039527494703592
TAR,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,190,54,0.6268274853801169,0.602743664717349,0.6672002923976608,0.547495126705653,0.516912768031189,0.5797953216374269,0.8523972145454394,0.8373429295043364,0.8727416386438566
TAR,mean_plus_spread,mean_difference,mean_plus_spread,190,54,0.7062085769980506,0.670577485380117,0.7255847953216374,0.5803557504873295,0.5581359649122807,0.6027802144249512,0.8816198921960119,0.8672688890399619,0.8982373624202584
TAR,mean_plus_spread,logistic_regression,mean_plus_spread,190,54,0.6653996101364523,0.6208966861598441,0.699093567251462,0.5762329434697855,0.5239376218323587,0.6312621832358674,0.868745478565628,0.8428799872380246,0.8893972217038338
