method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
RMU-LAT,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,114,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.2697164141940752,0.0784540673587167,0.4641658831015707
RMU-LAT,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,115,0.3043478260869565,0.3043478260869565,0.0,0.6956521739130435,1.0087608718873755,0.4654064377406235,3.9768231614553935
RMU-LAT,suppressed_vs_rest,correct_only,mean_difference,Qstar,1,567,0.2292768959435626,0.2292768959435626,0.054673721340388,0.5837742504409171,-0.061716342106886,-0.9903467181828411,0.0135882220390363
RMU-LAT,suppressed_vs_rest,correct_only,mean_difference,Qstar,2,134,0.2611940298507462,0.2611940298507462,0.0373134328358208,0.5746268656716418,0.2611430296612268,0.0147037149539395,1.7295070908765902
RMU-LAT,forgotten_vs_retained,correct_only,mean_difference,Qstar,1,89,0.0561797752808988,0.0,0.0561797752808988,0.9438202247191012,-1.2071843341731074,-2.35608389507225,-0.7973589510489756
RMU-LAT,forgotten_vs_retained,correct_only,mean_difference,Qstar,2,89,0.0449438202247191,0.0,0.0449438202247191,0.9550561797752808,-0.5491387982245921,-0.7860172530549262,-0.3163972357691909
RMU-LAT,forgotten_vs_retained,correct_only,mean_difference,Qstar,3,88,0.0227272727272727,0.0,0.0227272727272727,0.9772727272727272,-0.0242015351947866,-0.3150900940210756,0.2033808673851676
RMU-LAT,forgotten_vs_retained,correct_only,mean_difference,Qstar,4,89,0.1348314606741573,0.0,0.1348314606741573,0.8651685393258427,0.5333107173784362,0.2106698782289158,0.8734438553792494
RMU-LAT,forgotten_vs_retained,correct_only,mean_difference,Qstar,5,89,0.146067415730337,0.0,0.146067415730337,0.8539325842696629,1.2469420228523107,0.9004151602032964,2.6147706725720314
RMU,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,44,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.0,-1.0203884306209634,-2.552273237550413,-0.6534911295271109
RMU,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,43,0.627906976744186,0.627906976744186,0.3720930232558139,0.0,-0.424876064702779,-0.6448573127752624,-0.2028333279595725
RMU,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,43,0.9302325581395348,0.9302325581395348,0.0697674418604651,0.0,0.0163900786671932,-0.1941547312678943,0.2007171954518104
RMU,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,43,0.8837209302325582,0.8837209302325582,0.1162790697674418,0.0,0.4176867610816941,0.2066909702142174,0.6715112048627785
RMU,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,44,0.8181818181818182,0.8181818181818182,0.1818181818181818,0.0,1.01139676409863,0.687541260387644,1.9226625981799703
