model,checkpoint,fold,probe_type,classifier,probe_variant,remains,unlearned,emerged,never_known,total
RepNoise,ck8,single,init_band,AdaBoost,frozen_base,345,278,244,279,1146
RepNoise,ck8,single,init_band,AdaBoost,method_probe,384,239,254,269,1146
RepNoise,ck8,single,init_band_emb,LR,frozen_base,423,252,186,285,1146
RepNoise,ck8,single,init_band_emb,LR,method_probe,586,89,81,390,1146
RepNoise,ck8,single,init_band_emb,RF,frozen_base,340,290,236,280,1146
RepNoise,ck8,single,init_band_emb,RF,method_probe,387,243,233,283,1146
RepNoise,ck8,single,init_band_emb,AdaBoost,frozen_base,355,282,232,277,1146
RepNoise,ck8,single,init_band_emb,AdaBoost,method_probe,395,242,232,277,1146
RepNoise,ck8,single,end_band,LR,frozen_base,397,369,176,204,1146
RepNoise,ck8,single,end_band,LR,method_probe,465,301,198,182,1146
RepNoise,ck8,single,end_band,RF,frozen_base,343,357,218,228,1146
RepNoise,ck8,single,end_band,RF,method_probe,378,322,229,217,1146
RepNoise,ck8,single,end_band,AdaBoost,frozen_base,358,364,216,208,1146
RepNoise,ck8,single,end_band,AdaBoost,method_probe,396,326,218,206,1146
RepNoise,ck8,single,ib_no_pca,LR,frozen_base,438,191,173,344,1146
RepNoise,ck8,single,ib_no_pca,LR,method_probe,555,74,84,433,1146
RepNoise,ck8,single,ib_no_pca,RF,frozen_base,300,343,268,235,1146
RepNoise,ck8,single,ib_no_pca,RF,method_probe,495,148,155,348,1146
RepNoise,ck8,single,ib_no_pca,AdaBoost,frozen_base,330,290,238,288,1146
RepNoise,ck8,single,ib_no_pca,AdaBoost,method_probe,399,221,222,304,1146
ELM,ck8,single,per_layer,LR,frozen_base,375,363,198,210,1146
ELM,ck8,single,per_layer,LR,method_probe,447,291,182,226,1146
ELM,ck8,single,per_layer,RF,frozen_base,376,351,214,205,1146
ELM,ck8,single,per_layer,RF,method_probe,447,280,184,235,1146
ELM,ck8,single,per_layer,AdaBoost,frozen_base,358,368,215,205,1146
ELM,ck8,single,per_layer,AdaBoost,method_probe,386,340,208,212,1146
ELM,ck8,single,mid_band,LR,frozen_base,405,384,175,182,1146
ELM,ck8,single,mid_band,LR,method_probe,537,252,143,214,1146
ELM,ck8,single,mid_band,RF,frozen_base,358,361,217,210,1146
ELM,ck8,single,mid_band,RF,method_probe,425,294,198,229,1146
ELM,ck8,single,mid_band,AdaBoost,frozen_base,365,352,202,227,1146
ELM,ck8,single,mid_band,AdaBoost,method_probe,419,298,202,227,1146
ELM,ck8,single,full_layer,LR,frozen_base,423,334,172,217,1146
ELM,ck8,single,full_layer,LR,method_probe,515,242,153,236,1146
ELM,ck8,single,full_layer,RF,frozen_base,355,354,205,232,1146
ELM,ck8,single,full_layer,RF,method_probe,429,280,207,230,1146
ELM,ck8,single,full_layer,AdaBoost,frozen_base,375,336,197,238,1146
ELM,ck8,single,full_layer,AdaBoost,method_probe,415,296,217,218,1146
ELM,ck8,single,init_band,LR,frozen_base,530,145,123,348,1146
ELM,ck8,single,init_band,LR,method_probe,603,72,68,403,1146
ELM,ck8,single,init_band,RF,frozen_base,309,321,270,246,1146
ELM,ck8,single,init_band,RF,method_probe,408,222,219,297,1146
ELM,ck8,single,init_band,AdaBoost,frozen_base,408,215,211,312,1146
ELM,ck8,single,init_band,AdaBoost,method_probe,387,236,244,279,1146
ELM,ck8,single,init_band_emb,LR,frozen_base,530,145,123,348,1146
ELM,ck8,single,init_band_emb,LR,method_probe,603,72,68,403,1146
ELM,ck8,single,init_band_emb,RF,frozen_base,295,335,284,232,1146
ELM,ck8,single,init_band_emb,RF,method_probe,396,234,231,285,1146
ELM,ck8,single,init_band_emb,AdaBoost,frozen_base,414,223,207,302,1146
ELM,ck8,single,init_band_emb,AdaBoost,method_probe,376,261,250,259,1146
ELM,ck8,single,end_band,LR,frozen_base,422,344,169,211,1146
ELM,ck8,single,end_band,LR,method_probe,487,279,160,220,1146
ELM,ck8,single,end_band,RF,frozen_base,348,352,208,238,1146
ELM,ck8,single,end_band,RF,method_probe,395,305,233,213,1146
ELM,ck8,single,end_band,AdaBoost,frozen_base,350,372,208,216,1146
ELM,ck8,single,end_band,AdaBoost,method_probe,399,323,217,207,1146
ELM,ck8,single,ib_no_pca,LR,frozen_base,582,47,54,463,1146
ELM,ck8,single,ib_no_pca,LR,method_probe,603,26,35,482,1146
